名称,类别,地理位置-区,地理位置-板块,地理位置-详细地址,房型,面积,均价,总价
青云上府,住宅,朝阳,中央别墅区,东苇路青云上府,3室,272,53000,980
和光悦府,住宅,朝阳,朝阳其它,南皋路和光悦府,4室,145,88000,1162
朝阳壹号,住宅,朝阳,垡头,北京市朝阳区,3室,140,71000,875
国祥雲著,住宅,密云,鼓楼街道,密云区檀营乡新北路,3室,126,26000,371
和悦璞云,住宅,大兴,大兴其它,榆南路和悦璞云,1室,76,27500,212
中骏金辉未来云城,住宅,大兴,黄村火车站,北京·大兴新城·京雄城际铁路北京大兴站西50米，地铁黄村火车站西800米。,3室,123,50000,700
远洋源山春秋,住宅,石景山,石景山其它,北京市石景山区刘娘府北街,3室,395,95700,2575
大兴德贤华府,住宅,大兴,义和庄,兴良路德贤华府,2室,106,37000,420
德贤御府,住宅,朝阳,朝阳其它,北京市朝阳区楼梓庄路德贤御府1号楼,4室,109,65000,884
熙悦晴翠,住宅,丰台,丰台其它,长顺二路熙悦晴翠,3室,107,52000,742
越秀天恒.怀山府,住宅,怀柔,怀柔,红螺寺路怀山府,3室,114,34000,397
西山金茂府,住宅,丰台,杜家坎,北京市丰台区,4室,125,43000,695
复兴华府,住宅,通州,果园,北京市通州区复兴南里11号楼,2室,118,44000,600
中绿东岳府,住宅,朝阳,垡头,王四营乡兴学路2号院中绿东岳府,3室,152,60000,995
京能丽墅,低密住宅,大兴,大兴新机场洋房别墅区,南北大街京能丽墅,3室,240,25000,572
中建宸庐云起,低密住宅,顺义,马坡,大营二街中建宸庐云起,3室,242,40000,707
水岸雁栖,低密住宅,怀柔,怀柔,京加路水岸雁栖,4室,279,22000,807
北京建工·璟玥林汐,住宅,怀柔,怀柔,和平街北京建工·璟玥林汐,2室,104,30000,361
西红门橡树湾一期,住宅,大兴,西红门,福伟路橡树湾,,100,55000,
中铁兴创逸境,住宅,大兴,大兴其它,中铁兴创逸境,3室,104,41000,542
富兴首府,低密住宅,朝阳,东坝,朝阳-东坝/润泽路,4室,320,82000,2710
金隅昆泰云筑,住宅,朝阳,十八里店,北京市朝阳区高标南路,2室,133,75000,1005
长安润璟,住宅,石景山,石景山其它,景顺街长安润璟,3室,116,65000,769
北京城建龙樾天元,住宅,丰台,岳各庄,青塔西路北京城建龙樾天元,4室,123,75000,980
中海汇智里,住宅,昌平,昌平其它,北京昌平区沙河中关村创新基地满白路与太行路交叉口北京信息科技大学北侧,1室,89,50000,240
京能云璟壹号,住宅,密云,鼓楼街道,北京密云区密云新城0104街区东部阳光街南侧,4室,194,27000,530
山水首府,住宅,怀柔,怀柔,庙赵路山水首府,2室,100,26000,372
晓风印月,住宅,朝阳,朝阳其它,北京市朝阳区崔各庄乡南皋路北侧,4室,135,70000,1035
保利锦上二期,住宅,朝阳,垡头,北京市朝阳区化工路焦化厂地铁站东北侧500米,4室,118,60000,977
国祥源境,住宅,密云,鼓楼街道,水源东路国祥源境,4室,149,28500,537
懋源璟廷,住宅,丰台,七里庄,北京市丰台区望园东里西北（望园北路北）,2室,216,110000,1800
懋源煜泽台,住宅,丰台,七里庄,北京市丰台区七里庄中国农业银行（北京丰台支行）南,4室,164,105000,2050
懋源璟瑜,住宅,丰台,七里庄,北京市丰台区七里庄路4号院西北（丰华苑东街西）,4室,233,110000,2450
汇豪公园里,住宅,房山,窦店,北京市房山区房窑路与大窦路交叉口东220米,1室,77,23000,160
华曦府,住宅,丰台,青塔,北京丰台小瓦窑小瓦窑西路与吴家村路交叉口,3室,110,75000,825
宸知筑,住宅,丰台,青塔,北京市丰台区小屯西路棚户区改造25-132地块,3室,141,58000,951
京投发展·北熙区,住宅,朝阳,朝阳其它,北京朝阳区东坝地铁12号线东坝西站东100米,2室,125,79000,1057
中建宸园,住宅,朝阳,望京,来广营北路88号,5室,227,90000,1955
中海富华里,住宅,海淀,海淀北部新区,北京市海淀区·永丰高新技术产业基地·海淀大悦城（在建中）东约1.3km,2室,110,80000,586
华龙IN巷,住宅,东城,永定门,沙子口路华龙IN巷,2室,146,99000,1685
懋源璟橒,住宅,顺义,中央别墅区,天柱东路懋源璟橒,4室,295,85000,2975
北京城建·国誉燕园,住宅,昌平,昌平其它,北京市昌平区国誉燕园,2室,92,34900,361
云筑二期,住宅,朝阳,十八里店,高标南路金隅昆泰云筑二期,3室,129,75000,545
懋源璟橒,低密住宅,顺义,中央别墅区,天柱东路懋源璟橒,6室,520,85000,4335
能建·京玥兰园,住宅,通州,临河里,群芳中二街京玥兰园,1室,97,53000,295
君礼著,住宅,丰台,玉泉营,北京市丰台区桥安西路与丰台东路交叉口,3室,145,106000,1437
西红门橡树湾二期,住宅,大兴,西红门,福兴路西红门橡树湾二期,,127,55000,800
中海长安誉,住宅,石景山,古城,北京市石景山区老古城前街55号,4室,139,75800,850
理想荟,底商,大兴,西红门,欣荣北大街18号院,,,48000,350
京华国贤府,住宅,房山,良乡,阳光南大街京华国贤府,1室,72,34000,242
若丘,住宅,门头沟,门头沟其它,锦屏北街若丘,3室,118,32000,410
中建·长安麓院,住宅,门头沟,冯村,冯石环路中建·长安麓院,4室,103,42000,535
金隅望京云尚,住宅,朝阳,望京,朝阳区奶子房中街2号院,2室,138,85000,1157
越秀·星樾,住宅,昌平,回龙观,北京市昌平区,2室,103,63000,645
